"Sample","est","se"
"Long-term_2017_119_1",-1.76409554965228,0.233853201144195
"Long-term_2017_13_1",0.303422147780657,0.457230222543674
"Long-term_2017_19_1",0.484972711211983,0.282786907420019
"Long-term_2017_191_1",0.890037199890025,0.300057706917626
"Long-term_2017_209R_1",-1.19896821426586,0.227108312973606
"Long-term_2017_21_1",0.741210654329048,0.325824398033802
"Long-term_2017_222_1",-0.092866318076849,0.245225370311812
"Long-term_2017_252_1",-0.342231152983654,0.238455128579733
"Long-term_2017_265_1",-0.501328937293285,0.189592630089735
"Long-term_2017_281_1",0.1783577380418,0.217561685703664
"Long-term_2017_29_1",0.00711992477670721,0.252853138250787
"Long-term_2017_3_1",-0.955890538645508,0.216663650723868
"Long-term_2017_305R_1",-0.640673988080224,0.194898622757257
"Long-term_2017_34_1",-0.45637067025571,0.220664444791227
"Long-term_2017_38_1",-0.0360491831885884,0.200478481565826
"Long-term_2017_4_1",-0.562913032576561,0.251048876270535
"Long-term_2017_40_1",1.20316994298776,0.360830369372526
"Long-term_2017_40005_1",-0.670446561056146,0.344932263481515
"Long-term_2017_40005_2",0.192723619539756,0.389947321336155
"Long-term_2017_40005_3",-0.345213317871094,0.350041288651271
"Long-term_2017_40006_1",0.869190513616351,0.333843323206293
"Long-term_2017_40006_2",0.721760596153399,0.33577465106164
"Long-term_2017_40006_3",2.36149842251614,0.402621450959744
"Long-term_2017_40007_1",1.36112402936775,0.332914855550762
"Long-term_2017_40007_2",1.78141631319799,0.320578376616551
"Long-term_2017_40007_3",1.63621252878687,0.365109250319831
"Long-term_2017_40008_1",-0.414166286591835,0.218635661096852
"Long-term_2017_40008_2",-0.270522119854035,0.211281785065587
"Long-term_2017_40008_3",-0.446996292364069,0.211750419459288
"Long-term_2017_40009_1",0.994606707617642,0.451511858013624
"Long-term_2017_40009_2",-0.728484335134271,0.326483226227768
"Long-term_2017_40009_3",0.485862300946106,0.40006452244379
"Long-term_2017_40010_1",-0.102254698269946,0.343037578817578
"Long-term_2017_40010_2",0.775340743958672,0.330468254666992
"Long-term_2017_40010_3",0.142967037476362,0.245528716110837
"Long-term_2017_40011_1",-0.618329202500822,0.275263204535698
"Long-term_2017_40011_2",-0.435127357838828,0.213667101214599
"Long-term_2017_40011_3",-0.475389564673306,0.250920880450079
"Long-term_2017_40012_1",1.96743191017773,0.400377527814343
"Long-term_2017_40012_2",1.37789150986041,0.380026020564691
"Long-term_2017_40012_3",-0.091021512014995,0.378702581875799
"Long-term_2017_40013_1",-0.0714523181611366,0.367823255615604
"Long-term_2017_40013_2",-0.188713791877963,0.309000852174359
"Long-term_2017_40013_3",0.0496472782641649,0.397221884697053
"Long-term_2017_40015_1",-0.224355711241951,0.244577799332371
"Long-term_2017_40015_2",0.0935402768431618,0.286936935347657
"Long-term_2017_40015_3",-0.0802509555732831,0.244822152991537
"Long-term_2017_40016_1",-0.7309990309662,0.234981012039018
"Long-term_2017_40016_2",-0.661588405044427,0.215089897222998
"Long-term_2017_40016_3",-0.639353772851178,0.264336696202465
"Long-term_2017_40017_1",-1.65907064081012,0.317190106899411
"Long-term_2017_40017_2",-2.92942418834277,0.274445512823589
"Long-term_2017_40017_3",-3.07462536626631,0.264774972464073
"Long-term_2017_40018_1",-0.299561290518322,0.200072193162973
"Long-term_2017_40018_2",-0.436909868230832,0.194277847316311
"Long-term_2017_40018_3",-0.238519440755456,0.191408327523536
"Long-term_2017_40019_1",3.45924309140815,0.3459882215079
"Long-term_2017_40019_2",2.41766303404585,0.358580156539299
"Long-term_2017_40019_3",3.40032263776411,0.3722110408863
"Long-term_2017_40020_1",2.44340813860413,0.37095043187587
"Long-term_2017_40020_2",2.65182338682625,0.36263219202706
"Long-term_2017_40020_3",1.97222478305457,0.351490038228808
"Long-term_2017_40021_1",-0.122574161658995,0.245871734631099
"Long-term_2017_40021_2",-0.0735894655530865,0.243835468968924
"Long-term_2017_40021_3",-0.301582744717898,0.239015282383341
"Long-term_2017_40022_1",-0.629731836675785,0.20538530237869
"Long-term_2017_40022_2",-0.597672064819062,0.219000069477694
"Long-term_2017_40022_3",-0.434485321367503,0.276783993495011
"Long-term_2017_40025_3",0.204083203197006,0.339460409427812
"Long-term_2017_40026_1",-0.727207137960358,0.24876641809373
"Long-term_2017_40026_2",-0.935901471524745,0.217177012590278
"Long-term_2017_40026_3",-0.787891638507592,0.265124889628102
"Long-term_2017_40027_1",-0.181992035136035,0.364321862066949
"Long-term_2017_40027_2",-1.70487716072503,0.40538621554975
"Long-term_2017_40027_3",-0.153842668833677,0.431327448470244
"Long-term_2017_40028_1",-0.617278935921275,0.203370164830627
"Long-term_2017_40028_2",-0.502782445566063,0.217967229506479
"Long-term_2017_40028_3",-0.467428037803265,0.262970463566317
"Long-term_2017_40029_1",-0.202980347424746,0.274033717742022
"Long-term_2017_40029_2",-0.0526034679773149,0.329876419220663
"Long-term_2017_40029_3",-0.0626195663526231,0.288022342364385
"Long-term_2017_40030_1",-0.672524289702451,0.211719617644119
"Long-term_2017_40030_2",-0.697963635822557,0.199765785871557
"Long-term_2017_40030_3",-0.678147313145813,0.184392758780003
"Long-term_2017_40032_1",-0.0816365980601401,0.309900328071222
"Long-term_2017_40032_2",-0.164976173937321,0.325132514602832
"Long-term_2017_40032_3",-0.080620479695499,0.269874094168288
"Long-term_2017_40033_1",-0.751722778898547,0.387213468177645
"Long-term_2017_40033_2",-1.02854334911292,0.346448094612325
"Long-term_2017_40033_3",-0.911399129769246,0.319833095536583
"Long-term_2017_40034_1",-1.26845065877896,0.33761099597321
"Long-term_2017_40034_2",-1.45402676506349,0.353670020472783
"Long-term_2017_40034_3",-0.969732043692643,0.350605062752621
"Long-term_2017_40036_1",-0.026442640655557,0.351519283482446
"Long-term_2017_40036_2",0.891672867349264,0.299472360448728
"Long-term_2017_40036_3",1.53081112790708,0.319306662244039
"Long-term_2017_40037_1",-0.554415135401082,0.19235515684657
"Long-term_2017_40037_2",-0.180562055992777,0.223156362976134
"Long-term_2017_40037_3",-0.392986443321893,0.170279080911018
"Long-term_2017_44_1",-0.27902939915657,0.337663745233365
"Long-term_2017_49_1",-0.686256654668832,0.196383723072828
"Long-term_2017_52_1",1.19910625974661,0.429247939854557
"Long-term_2017_BLL009_1",0.353007499247422,0.362985739463526
"Long-term_2017_HCB003_1",-0.102421966998372,0.22645229089643
"Long-term_2018_119_1",-1.49129112900058,0.243245158658851
"Long-term_2018_13_1",0.321372194252908,0.337195859153854
"Long-term_2018_19_1",-0.584444463411892,0.224380075771624
"Long-term_2018_191_1",0.626071912972009,0.34105081343115
"Long-term_2018_209R_1",-1.42910128573579,0.27426899426156
"Long-term_2018_21_1",0.716447170340899,0.30581397929793
"Long-term_2018_222_1",1.10438134147471,0.33692340096413
"Long-term_2018_252_1",-0.798182587661945,0.242840223076218
"Long-term_2018_265_1",-0.442083085694689,0.194142656749035
"Long-term_2018_281_1",0.231337539109192,0.319718110668481
"Long-term_2018_29_1",-0.0385663681622827,0.239424047253753
"Long-term_2018_3_1",-0.950512707856729,0.236175357688952
"Long-term_2018_305R_1",-0.355196372326827,0.230693697116103
"Long-term_2018_34_1",-0.405481883115135,0.266410686155807
"Long-term_2018_38_1",0.223721188449708,0.269096591154437
"Long-term_2018_4_1",0.390256476009245,0.286744322249696
"Long-term_2018_40_1",1.14854478826281,0.325518587104379
"Long-term_2018_40005_1",0.766665411912385,0.35626571905526
"Long-term_2018_40006_1",1.81090422387285,0.336137800278928
"Long-term_2018_40007_1",1.00165819023003,0.331641540234255
"Long-term_2018_40008_1",-0.402664882669278,0.220296265483007
"Long-term_2018_40009_1",0.252511155545035,0.35345117338695
"Long-term_2018_40010_1",0.304781344415006,0.252837503512409
"Long-term_2018_40011_1",-0.117334827259183,0.318026272692339
"Long-term_2018_40012_1",0.835557534097502,0.38832463104406
"Long-term_2018_40013_1",-0.272337458068505,0.312783588766669
"Long-term_2018_40015_1",-0.0241405990161002,0.252153747165036
"Long-term_2018_40016_1",-0.714004035154237,0.204654152548113
"Long-term_2018_40017_1",-1.70342745491106,0.255241544559711
"Long-term_2018_40018_1",-0.604987949116185,0.181503665653943
"Long-term_2018_40019_1",3.41824455857615,0.318664920850686
"Long-term_2018_40020_1",2.2083112379418,0.318210221247702
"Long-term_2018_40021_1",0.391918448439917,0.284589767054837
"Long-term_2018_40022_1",-0.658932827733418,0.18215131049003
"Long-term_2018_40025_1",-0.0450482434686273,0.226048433127466
"Long-term_2018_40026_1",-0.771082490289084,0.171812194428227
"Long-term_2018_40027_1",-0.406416863305494,0.376667925193554
"Long-term_2018_40028_1",-0.544971097789169,0.205870505425704
"Long-term_2018_40029_1",0.581011288770388,0.265506778338602
"Long-term_2018_40030_1",-0.517299190656049,0.222482912870215
"Long-term_2018_40032_1",-0.109063137075209,0.332740950383769
"Long-term_2018_40034_1",-1.9331290659543,0.350707420268128
"Long-term_2018_40036_1",1.20698308453322,0.293238718662736
"Long-term_2018_40037_1",-0.453161381343078,0.206110253960398
"Long-term_2018_40038_1",0.227378550632485,0.287986068903217
"Long-term_2018_44_1",0.371997219220152,0.352897709027995
"Long-term_2018_49_1",-0.438725858528548,0.238864285397307
"Long-term_2018_52_1",0.367749523103467,0.475131997828655
"Long-term_2018_BLL009_1",0.700786850696958,0.400075650915484
"Long-term_2018_HCB003_1",-0.217668800196692,0.196387161845182
